01 TEST_TRANSMISJI
IL_POWT=10
ROZM_PACZ=5
ODL=10
DANE
ID_PACZKA;RAMKA_WYS;RAMKA_ODB;STATUS
1;[01 02 03 05];[01 02 03 05];OK
2;[01 02 03 05];[01 02 03 05];OK
3;[01 02 03 05];[01 02 03 05];ERR
4;[01 02 03 05];[01 02 03 05];OK
5;[01 02 03 05];[01 02 03 05];OK
6;[01 02 03 05];[01 02 03 05];ERR
7;[01 02 03 05];[01 02 03 05];OK
8;[01 02 03 05];[01 02 03 05];ERR
9;[01 02 03 05];[01 02 03 05];OK
10;[01 02 03 05];[01 02 03 05];OK
11;[01 02 03 05];[01 02 03 05];OK
12;[01 02 03 05];[01 02 03 05];OK
13;[01 02 03 05];[01 02 03 05];ERR
14;[01 02 03 05];[01 02 03 05];ERR
