02 TEST_WYDAJNOŚCI
IL_POWT=3
ROZM_POCZ_PACZ=10
KROK_ZW_PACZ=5
IL_POW_POJ_IT=3
DANE
ID_PACZKA;RAMKA_WYS;RAMKA_ODB;ROZMIAR;CZAS;NR_KROKU;STATUS
1;[01 02 03 05];[01 02 03 05];8;4;OK;1
2;[01 02 03 05];[01 02 03 05];8;5;OK;1
3;[01 02 03 05];[01 02 03 05];8;6;OK;1
4;[01 02 03 05];[01 02 03 05];9;4;OK;2
5;[01 02 03 05];[01 02 03 05];9;5;OK;2
6;[01 02 03 05];[01 02 03 05];9;6;OK;2
7;[01 02 03 05];[01 02 03 05];10;4;OK;3
8;[01 02 03 05];[01 02 03 05];10;5;OK;3
9;[01 02 03 05];[01 02 03 05];10;6;OK;3
10;[01 02 03 05];[01 02 03 05];11;4;OK;4
11;[01 02 03 05];[01 02 03 05];11;5;OK;4
12;[01 02 03 05];[01 02 03 05];11;6;OK;4
13;[01 02 03 05];[01 02 03 05];12;4;OK;5
14;[01 02 03 05];[01 02 03 05];12;5;OK;5
15;[01 02 03 05];[01 02 03 05];12;6;OK;5
